ADDRESS,C01,Expenses,Income
2160103173,4,104876224,35796940
2160103176,5,118557224,109826940
2160103179,4,179455836,31677552
2160103181,4,187482836,124877552
2160104055,4,93441552,49647552
2160104059,5,84277940,38771940
2160104061,4,98467940,46271940
2160104065,5,129954716,90020716
2160104068,2,73616000,33020000
2170001104,10,203236000,97500000
2170001108,4,91053552,89957552
2170001112,5,87833800,129499800
2170001113,5,73069000,41500000
2170001118,8,209182880,108197200
2170002155,4,144961680,123519200
2170002161,1,21354388,19974388
2170002165,4,96557552,68857552
2170002168,2,49226776,61684776
2170003105,5,74383000,96225000
2170003107,5,165500000,172471000
2170003110,4,68480552,84197552
2170003113,2,39242776,28728776
2170003116,3,54509164,79438164
2170004004,4,109818000,129626000
2170004009,5,124076552,85707552
2170004011,4,80701552,72377552
2170004014,3,70359164,77533164
2170004016,3,67913164,81833164
2170005105,5,82584940,51721940
2170005112,5,123694940,63641940
2170005114,3,61921033,81820023
2170006004,2,40297776,75628776
2170006012,5,58971940,100891940
2170006018,1,34266388,34874388
2170007059,5,112026200,69675000
2170007060,3,66968564,52408164
2170007063,3,82606164,28228164
2170007069,5,97214540,43446940
2170008109,3,53172164,64343164
2170008115,5,69975940,81991940
2170009218,4,54971552,51993552
2170009224,5,55331940,53655940
2170010297,7,139457416,86490716
2170010300,6,140785728,82436328
2170010302,6,168320328,110406328
2170011006,2,32098776,29268776
2170011007,5,57581940,127816940
2170011010,3,88849164,63033164
2170011016,2,38334776,55208776
2170012317,5,98137000,104720000
2170012320,3,90647000,78780000
2170012322,2,23010776,24228776
2170012327,9,214154940,242171940
2170012330,4,216564000,164520000
2170013223,3,121226200,49840000
2170013228,3,41716964,28133164
2170013230,6,156883728,80911328
2170013233,5,45704940,61171940
2170014106,4,99362000,48820000
2170014108,2,45928376,32798776
2170014117,4,123054752,73197552
2170015004,5,114678940,71144940
2170015008,2,22566676,24698676
2170015012,3,33834164,42338164
2170015013,4,47301552,45497552
2170015016,4,76753552,44737552
2170016159,4,171907552,58865552
2170016160,8,186590104,99803104
2170017463,2,30557576,24092776
2170017469,4,147201752,112009552
2170017473,4,180866400,269362400
2170018053,6,154929400,151128000
2170018059,4,114034160,95389600
2170018065,5,81808180,63889990
2170019004,3,62662164,41608164
2170019008,4,70223552,38757552
2170019013,4,82549552,60177552
2170020102,2,64570776,58522776
2170020104,9,150975000,153550000
2170020108,5,111701400,145104600
2170020109,4,86352776,56572776
2170021007,5,58452940,88811940
2170021012,5,77151000,112632000
2170021015,3,85085000,63090000
2170021017,5,154263336,129262000
2170022053,4,77644152,80697552
2170022056,7,225857800,133702000
2170022058,4,483165200,232040000
2170022065,4,86594000,102000000
2170023006,4,137528400,113180000
2170023008,5,44374940,46046940
2170023011,4,164794400,90928000
2170023013,7,236640200,153865000
2170023016,5,114331000,133417000
2170024204,5,125076000,117250000
2170024207,2,53198000,81184000
2170024210,3,91900164,86293164
2170024218,5,155441000,119930000
2170025156,3,76938164,67393164
2170025159,4,96548700,112255000
2170025161,6,338485660,465341190
2170025168,3,89761600,75570000
2170026161,4,71216552,47117552
2170026167,4,37378552,28777552
2170026169,3,171682600,96465000
2170027058,6,160476776,111898776
2170027062,4,135059000,95260000
2170027064,2,18852776,25358776
2170027072,8,269348000,89950000
2170028008,6,167788000,124468000
2170028012,4,131300000,95888000
2170028014,5,161527000,123100000
2170028018,4,176542352,132697552
2170029114,3,208079900,117302250
2170029115,4,206088000,188100000
2170029118,4,159625600,99260000
2170029122,5,279397600,123550000
2170029126,8,242352552,87277552
2170030005,3,32760964,36838164
2170030014,5,374633400,204489000
2170030018,7,207786800,110983900
2170031057,3,176085400,202011800
2170031065,4,74324800,88480000
2170031068,5,106912400,132128200
2170032006,8,133393104,81663104
2170032009,4,59376000,58830000
2170032012,4,72947552,47249552
2170032015,4,164737547,99847548
2170032018,4,70745552,44807552
2170033005,5,155450000,96822000
2170033007,6,131956000,85524000
2170033015,4,104161552,101957552
2170034056,5,127501800,129076000
2170034058,4,51012552,92457552
2170034064,5,94030940,86271940
2170034067,3,43301164,61243164
2170035160,4,79367552,92217552
2170035164,6,137744600,129193900
2170035173,2,80686776,63328776
2170036109,4,193784000,122924000
2170036112,4,79285000,82160000
2170036115,3,58361164,59888164
2170036118,4,73797552,80217552
